participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
32,40,XYLOPHONE,music,mouth,fingers,noise,tune,concert,music lessons,band,qiour,songs,beat,singing,pantomime,,,,,,,
33,6,DIAGRAM,draw,instruction,explanation,view,detailed,informative,map,read,see,observe,charts,lines,colors,sketch,maths,school,work,factual,black,
33,7,DOORMAT,hard,shoes,foot,outside,inside,bristly,brown,home,boots,trainers,enter,leave,arrive,rough,dirty,vacuum,stand,wipe,dark,changeable
33,15,GUST,wind,blow,weather,cold,strong,forecast,blown,damage,cold,wind,fast,shelter,winter,autumn,seaside,movement,rain,stormy,push,atmosphere
33,18,KITCHEN,cupboards,work,cooking,food,family,table,people,busy,clean,messy,full,fast,cutlery,windows,sink,boards,cutting,oven,units,dishwasher
33,19,LEASE,car,borrow,fimance,return,own,term,condition,expectations,,,,,,,,,,,,
33,25,OAK,tree,leaves,big,large,huge,old,green,acorns,ground,branch,story,picture,grand,importance,history,time,comfort,wood,frames,doors
33,31,SLAUGHTER,kill,animal,nasty,vicious,cruel,murder,blood,hang,cut,knife,remove,gore,scared,food,butchers,houses,mess,abattoir,end,hard
33,33,SPOKESPERSON,speaker,parliament,mps,chair,voice,opinion,people,community,advocate,confidence,topics,strong,rally,groups,standing,microphone,loud,television,protests,talking
33,34,SPRAIN,injury,ankle,wrist,football,sports,gymnastics,exercise,pain,hospital,support,bandages,rest,recovery,time,heal,patience,stretch,jump,fast,weak
