"Trial.order","Subject","Subject.number","Trial.name","correct","response","RT","leksikalnost","FWD_BCW","LF_HF","CONC_ABS","izvorna_rec","trial.number","rec","task"
144,"s1.dat",1,"t14",1,"1",1292,"rec","backw","HF","abst","strah",14,"HARTS","VLD"
145,"s1.dat",1,"t138",1,"3",1493,"pseudorec","backw","HF","conc",NA,138,"MAGNEG","ALD"
145,"s1.dat",1,"t138",1,"3",1493,"pseudorec","backw","HF","conc",NA,138,"KAPLAB","VLD"
146,"s1.dat",1,"t58",0,"3",NA,"rec","backw","LF","conc","makaze",58,"EZAKAM","ALD"
146,"s1.dat",1,"t58",0,"3",NA,"rec","backw","LF","conc","banana",58,"ANANAB","VLD"
147,"s1.dat",1,"t203",1,"3",1382,"pseudorec","forw","HF","conc",NA,203,"TAPIZ","ALD"
147,"s1.dat",1,"t203",1,"3",1382,"pseudorec","forw","HF","conc",NA,203,"KONDOP","VLD"
148,"s1.dat",1,"t57",0,"None",NA,"rec","backw","LF","conc","ekser",57,"RESKE","ALD"
148,"s1.dat",1,"t57",0,"None",NA,"rec","backw","LF","conc","kokos",57,"SOKOK","VLD"
150,"s1.dat",1,"t71",1,"1",630,"rec","forw","HF","abst","slutnja",71,"SLUTNJA","ALD"
150,"s1.dat",1,"t71",1,"1",630,"rec","forw","HF","abst","razvoj",71,"RAZVOJ","VLD"
151,"s1.dat",1,"t199",0,"None",NA,"pseudorec","forw","HF","conc",NA,199,"BORDEP","ALD"
151,"s1.dat",1,"t199",0,"None",NA,"pseudorec","forw","HF","conc",NA,199,"KLIPAĆ","VLD"
153,"s1.dat",1,"t175",0,"None",NA,"pseudorec","backw","LF","conc",NA,175,"UDOVAL","ALD"
153,"s1.dat",1,"t175",0,"None",NA,"pseudorec","backw","LF","conc",NA,175,"AKCENAŠ","VLD"
155,"s1.dat",1,"t20",1,"1",1332,"rec","backw","HF","conc","cipela",20,"ALEPIC","ALD"
155,"s1.dat",1,"t20",1,"1",1332,"rec","backw","HF","conc","konac",20,"CANOK","VLD"
156,"s1.dat",1,"t68",1,"1",732,"rec","forw","HF","abst","izraz",68,"IZRAZ","ALD"
156,"s1.dat",1,"t68",1,"1",732,"rec","forw","HF","abst","utisak",68,"UTISAK","VLD"
157,"s1.dat",1,"t166",1,"3",1402,"pseudorec","backw","LF","conc",NA,166,"SVETAF","ALD"
157,"s1.dat",1,"t166",1,"3",1402,"pseudorec","backw","LF","conc",NA,166,"BIOLOR","VLD"
158,"s1.dat",1,"t158",1,"3",1482,"pseudorec","backw","LF","abst",NA,158,"KAJAC","ALD"
158,"s1.dat",1,"t158",1,"3",1482,"pseudorec","backw","LF","abst",NA,158,"ĆEVAK","VLD"
159,"s1.dat",1,"t61",0,"None",NA,"rec","forw","HF","abst","nemoć",61,"NEMOĆ","ALD"
159,"s1.dat",1,"t61",0,"None",NA,"rec","forw","HF","abst","sudba",61,"SUDBA","VLD"
