id	gender	childhood_location	current_location	native_language	education	age
1402	male	nevada	nevada	english	some_college_no_degree	19
1403	male	newyork	newyorkcity	english	masters_degree	39
1404	male	illinois	illinois	english	bachelors_degree	47
1405	female	md	ga	english	bachelors_degree	46
1406	female	florida	florida	english	bachelors_degree	38
1407	female	virginianorfolk	newyork	english	some_college_no_degree	27
1408	female	northcarolina	northcarolina	english	bachelors_degree	31
1409	male	wisconsin	wisconsin	english	some_college_no_degree	38
1410	male	mo	mo	english	some_college_no_degree	43
1411	female	fl	florida	english	bachelors_degree	33
1412	male	iowa	vermont	english	bachelors_degree	32
1413	male	florida	florida	english	associates_degree	33
1414	male	michigan	michigan	english	bachelors_degree	40
1415	female	mqine	bangor	english	bachelors_degree	28
1416	male	maine	maine	english	bachelors_degree	45
1417	female	michigan	michigan	english	masters_degree	33
1418	male	florida	florida	english	bachelors_degree	39
1419	female	newyork	portugalporto	english	high_school_graduate	20
1420	male	nevada	nevada	english	masters_degree	37
1421	male	il	newzealand	english	bachelors_degree	40
1422	male	california	california	english	high_school_graduate	32
1423	male	ca	ca	english	bachelors_degree	27
1424	male	la	tx	english	bachelors_degree	36
1425	male	texas	louisiana	english	some_college_no_degree	25
1426	male	ohio	ohio	english	high_school_graduate	32
1427	female	ontario	ontario	english	some_college_no_degree	22
1428	male	nc	nc	english	bachelors_degree	46
1429	male	florida	nc	english	bachelors_degree	52
1430	female	alberta	ontario	english	masters_degree	26
1431	female	ontario	ontario	english	bachelors_degree	26
