spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
mam	25	1	277	46	277	6852	2007	6853	156.6908	3.8359	24.8699	3.3028	N	6814	mam	6815	.N.SPEC.WW.	.6814.28.10.	.6815.28.10.	1682325	38617	4262	1	3	1	monomorphemic	singular	Noun
mama	4	1.65	1745	129	1841	9028	2571	9054	206.4514	3.9556	31.8587	3.4103	N	9014	mama	9040	.N.SPEC.WW.	.9014.10.4.	.9040.10.4.	1913098	48494	4341	1	4	2	monomorphemic	singular	Noun
mama's	3	1.8	74	25	1841	259	196	9276	5.9228	2.415	2.4287	2.2945	N	258	mama	9275	.N.ADJ.	.258.1.	.9275.1.	2116343	81009	6253	1	6	2	monomorphemic	plural	Noun
mamen	18	1	NA	NA	NA	2	1	2	0.0457	0.4771	0.0124	0.301	SPEC	1	mamen	1	.SPEC.N.	.1.1.	.1.1.	2571065	276941	83797	NA	NA	NA	NA	NA	NA
mamime	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2590099	135359	6205	NA	NA	NA	NA	NA	NA
mamma	2	1.8	207	47	219	600	251	618	13.7207	2.7789	3.1103	2.4014	N	598	mamma	616	.N.SPEC.	.598.2.	.616.2.	1989217	52903	5508	10	5	2	monomorphemic	singular	Noun
mamma's	1	2	5	4	219	20	18	621	0.4574	1.3222	0.223	1.2788	N	15	mamma	616	.N.SPEC.ADJ.	.15.4.1.	.616.4.1.	2192462	85418	7420	10	7	2	monomorphemic	plural	Noun
mammae	0	2.3	7	3	219	3	3	616	0.0686	0.6021	0.0372	0.6021	N	3	mamma	616	.N.	.3.	.616.	2595043	117952	5216	10	6	2	monomorphemic	plural	Noun
mammel	8	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2522644	120373	15742	NA	NA	NA	NA	NA	NA
mammen	11	1.45	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2647184	281350	84525	10	6	2	monomorphemic	plural	Noun
mammer	6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2629939	206325	30510	NA	NA	NA	NA	NA	NA
mampte	3	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2604228	181381	19991	NA	NA	NA	NA	NA	NA
mams	8	1.5	65	22	65	196	108	197	4.4821	2.2945	1.3383	2.0374	N	196	mams	197	.N.	.196.	.197.	1884134	69417	4510	1	4	1	undetermined	singular	Noun
man	23	1	37136	638	50452	61388	7533	61752	1403.8146	4.7881	93.3457	3.877	N	60005	man	60369	.N.SPEC.	.60005.1383.	.60369.1383.	1889120	136518	8879	1	3	1	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
manaf	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2164133	88666	10322	NA	NA	NA	NA	NA	NA
mancaal	1	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2575385	127488	12246	NA	NA	NA	NA	NA	NA
mancons	2	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2644096	146507	13724	NA	NA	NA	NA	NA	NA
mand	12	1.2	521	194	827	188	138	234	4.2992	2.2765	1.71	2.143	N	187	mand	233	.N.SPEC.	.187.1.	.233.1.	2050911	137730	28394	1	4	1	monomorphemic	singular	Noun
mandaat	1	1.95	128	50	133	45	30	46	1.0291	1.6628	0.3717	1.4914	N	45	mandaat	46	.N.	.45.	.46.	2743030	203370	20952	1	7	2	undetermined	singular	Noun
manden	15	1.05	205	85	840	39	30	233	0.8918	1.6021	0.3717	1.4914	N	39	mand	233	.N.	.39.	.233.	2939651	402162	126604	10	6	2	monomorphemic	plural.plural past	Noun.Verb
mander	7	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2922406	327137	70177	NA	NA	NA	NA	NA	NA
manding	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2683950	208105	45754	NA	NA	NA	NA	NA	NA
mandje	8	1.45	170	94	928	96	77	96	2.1953	1.9868	0.9542	1.8921	N	96	mandje	96	.N.	.96.	.96.	2698770	187749	18759	10	6	2	lexicalised.monomorphemic	singular diminutive	Noun
mandjes	7	1.55	32	18	928	7	6	233	0.1601	0.9031	0.0743	0.8451	N	7	mand	233	.N.	.7.	.233.	2900579	180044	28773	10	7	2	lexicalised.monomorphemic	diminutive plural	Noun
mando	3	1.8	NA	NA	NA	1	1	1	0.0229	0.301	0.0124	0.301	SPEC	1	mando	1	.SPEC.	.1.	.1.	2254819	117852	14703	NA	NA	NA	NA	NA	NA
