spelling	lexicality	rt	zscore	accuracy	rt.sd	zscore.sd	accuracy.sd	sub50.rt	sub50.zscore	sub50.accuracy	sub50.rt.sd	sub50.zscore.sd	sub50.accuracy.sd
kiemte	N	772.233333333333	0.731211550679553	0.794871794871795	215.546568027667	1.07857775677525	0.409073869245305	794.096774193548	0.798858978810592	0.82051282051282	216.933070298761	1.06599798861372	0.388776411984472
kiemten	N	763.310344827586	0.68443642938047	0.871794871794872	246.086962481657	1.39379652301404	0.338688428429370	763.310344827586	0.68443642938047	0.871794871794872	246.086962481657	1.39379652301404	0.338688428429370
kiendje	N	627.111111111111	-0.151109369474595	0.974358974358974	136.597589976184	0.953622727107408	0.160128153805087	627.111111111111	-0.151109369474595	0.974358974358974	136.597589976184	0.953622727107408	0.160128153805087
kiendjes	N	624.564102564103	-0.300279030038346	1	144.662910328914	0.53097613877155	0	617.815789473684	-0.221218400101617	1	139.113963638053	0.792021780244985	0
kienrog	N	617.358974358974	-0.314203657630731	1	157.778907131982	0.751629100780767	0	617.358974358974	-0.314203657630731	1	157.778907131982	0.751629100780767	0
kienst	N	622.921052631579	-0.330268233912665	0.974358974358974	152.041847294065	0.547228627543774	0.160128153805087	636.315789473684	-0.260703410604511	0.974358974358974	175.077605227118	0.686767072535548	0.160128153805087
kiepaar	N	601.333333333333	-0.258457661335647	0.974358974358974	168.024147924381	0.964718197483064	0.160128153805087	599.222222222222	-0.263623123667847	0.974358974358974	168.311804375283	0.965199619403544	0.160128153805087
kierste	N	685.486486486486	0.0859100919492001	0.974358974358974	173.757753083875	0.82119970608399	0.160128153805087	686.888888888889	0.190030817219287	0.974358974358974	176.010028574312	1.06628827508771	0.160128153805087
kiesden	N	627.157894736842	0.450207208204646	0.58974358974359	225.127436295755	1.61559658143815	0.49831023511298	635.78947368421	0.540571946771279	0.58974358974359	225.431827326866	1.62795774221250	0.49831023511298
kiesen	N	815.25	0.899437219873774	0.564102564102564	231.463507411337	1.17121132571969	0.502356122102941	815.25	0.899437219873774	0.564102564102564	231.463507411337	1.17121132571969	0.502356122102941
