Subject,Age,Gender,Ita_Word,Eng_Word,Visual,Gustatory,Haptic,Olfactory,Auditory
3,23,F,HOTEL,hotel,5,0,1,1,1
3,23,F,HUMOR,humor,0,0,0,0,4
3,23,F,IDEA,idea,0,0,0,0,3
3,23,F,IDIOTA,idiot,0,0,0,0,3
3,23,F,IDOLO,idol,3,0,0,0,2
3,23,F,IDRANTE,hydrant,5,0,3,0,3
3,23,F,IGNORANZA,ignorance,0,0,0,0,0
3,23,F,IMBARAZZATO,embarrassed,3,0,0,0,1
3,23,F,IMMAGINARE,imagine,3,0,0,0,0
3,23,F,IMMATURO,immature,3,0,0,0,0
3,23,F,IMMONDIZIA,dirty,3,0,2,2,0
3,23,F,IMMORALE,immoral,3,0,0,0,3
3,23,F,IMPAURITO,afraid,3,0,0,0,3
3,23,F,IMPEGNATO,engaged,2,0,0,0,0
3,23,F,IMPIEGO,employment,1,0,0,0,0
3,23,F,IMPOTENTE,impotent,4,0,0,0,0
3,23,F,IMPRESSIONATO,impressed,3,0,0,0,1
3,23,F,INCENTIVO,incentive,1,0,0,0,1
3,23,F,INCHIOSTRO,ink,4,0,1,0,0
3,23,F,INCIDENTE,accident,5,0,4,1,5
3,23,F,INCORAGGIARE,cheer,2,0,0,0,3
3,23,F,INCUBO,nightmare,1,0,0,0,0
3,23,F,INDIFESO,helpless,4,0,1,0,1
3,23,F,INDIFFERENTE,indifferent,1,0,0,0,0
3,23,F,INDIGNAZIONE,outrage,1,0,0,0,2
3,23,F,INDUMENTO,garment,5,0,4,2,1
3,23,F,INDUSTRIA,industry,4,0,0,2,2
3,23,F,INFASTIDIRE,annoy,0,0,0,0,0
3,23,F,INFATUAZIONE,infatuation,1,0,0,0,0
3,23,F,INFEDELE,unfaithful,1,0,0,0,1
3,23,F,INFELICE,unhappy,1,0,0,0,2
3,23,F,INFERIORE,inferior,2,0,0,0,1
3,23,F,INFERMIERE,nurse,4,0,0,1,0
3,23,F,INFERNO,hell,0,0,0,0,0
3,23,F,INFEZIONE,infection,5,0,1,1,0
3,23,F,INFORNARE,bake,3,0,3,0,0
3,23,F,INFURIATO,enraged,5,0,0,0,4
3,23,F,INGANNO,deceit,0,0,0,0,0
3,23,F,INNAMORATO,valentine,4,2,4,3,4
3,23,F,INNOCENTE,innocent,1,0,0,0,0
3,23,F,INONDAZIONE,flood,3,0,0,0,1
3,23,F,INQUIETO,tense,3,0,0,0,2
3,23,F,INQUINARE,pollute,3,0,0,2,1
3,23,F,INSALATA,salad,4,5,2,1,1
3,23,F,INSEGNANTE,teacher,5,0,0,0,5
3,23,F,INSETTO,insect,5,0,4,0,3
3,23,F,INSICURO,insecure,2,0,0,0,0
3,23,F,INSIPIDO,bland,0,5,0,0,0
3,23,F,INSOLENTE,insolent,0,0,0,0,3
3,23,F,INSULTO,insult,0,0,0,0,5
3,23,F,INSURREZIONE,riot,2,0,0,0,1
3,23,F,INTELLETTO,intellect,0,0,0,0,0
