"participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"s1.dat","t93","BAROK",273,"rec","3",1,822
"s1.dat","t60","TEKRAP",274,"rec","3",1,1422
"s1.dat","t60","ATAPOL",274,"rec","3",1,1422
"s1.dat","t132","NAZER",275,"pseudorec","3",1,932
"s1.dat","t132","AVANČ",275,"pseudorec","3",1,932
"s1.dat","t35","ATNEOP",276,"rec","3",0,NA
"s1.dat","t35","DIKSAR",276,"rec","3",0,NA
"s1.dat","t150","REKEB",277,"pseudorec","3",1,981
"s1.dat","t150","FLUIŠ",277,"pseudorec","3",1,981
"s1.dat","t118","RERNA",278,"rec","3",1,611
"s1.dat","t118","KAČKET",278,"rec","3",1,611
"s1.dat","t76","TEPIH",279,"rec","3",1,551
"s1.dat","t76","SAPUN",279,"rec","3",1,551
"s1.dat","t21","AJIPAK",280,"rec","3",1,1252
"s1.dat","t21","BELAG",280,"rec","3",1,1252
"s1.dat","t87","PESAK",281,"rec","3",1,641
"s1.dat","t87","STAKLO",281,"rec","3",1,641
"s1.dat","t120","KRLJUŠT",282,"rec","3",1,521
"s1.dat","t120","OLOVKA",282,"rec","3",1,521
"s1.dat","t123","TIGAŠ",283,"pseudorec","None",0,NA
"s1.dat","t123","NEUKUD",283,"pseudorec","None",0,NA
"s1.dat","t149","KINIB",285,"pseudorec","3",1,1102
"s1.dat","t149","VISAR",285,"pseudorec","3",1,1102
